Rhynchopsitta pachyrhyncha
Rhynchopsitta terrisi
Bolborhynchus lineola
Forpus passerinus
Forpus cyanopygius
Forpus conspicillatus
Brotogeris jugularis
Brotogeris versicolurus
Touit costaricensis
Touit dilectissimus
Pyrilia haematotis
Pyrilia pyrilia
Pionus menstruus
Pionus senilis
Amazona albifrons
Amazona xantholora
Amazona leucocephala
Amazona collaria
Amazona ventralis
Amazona vittata
Amazona agilis
Amazona viridigenalis
Amazona finschi
Amazona autumnalis
Amazona farinosa
Amazona oratrix
Amazona auropalliata
Amazona ochrocephala
Amazona arausiaca
Amazona versicolor
Amazona guildingii
Amazona imperialis
Cuculus canorus
Cuculus optatus
Coccycua minuta
Piaya cayana
Coccyzus melacoryphus
Coccyzus americanus
Coccyzus euleri
Coccyzus minor
Coccyzus ferrugineus
Coccyzus erythropthalmus
Coccyzus pluvialis
Coccyzus rufigularis
Coccyzus vetula
Coccyzus vieilloti
Coccyzus merlini
Coccyzus longirostris
Tapera naevia
Dromococcyx phasianellus
Morococcyx erythropygus
Geococcyx velox
Geococcyx californianus
Neomorphus geoffroyi
Crotophaga major
Crotophaga ani
Crotophaga sulcirostris
Tyto alba
Tyto glaucops
Otus flammeolus
Otus sunia
Megascops kennicottii
Megascops asio
Megascops seductus
Megascops cooperi
Megascops trichopsis
Megascops choliba
Megascops barbarus
Megascops guatemalae
Megascops clarkii
Megascops nudipes
Gymnoglaux lawrencii
Lophostrix cristata
Pulsatrix perspicillata
Bubo virginianus
Bubo scandiacus
Surnia ulula
Glaucidium gnoma
Glaucidium costaricanum
Glaucidium griseiceps
Glaucidium sanchezi
Glaucidium palmarum
Glaucidium brasilianum
Glaucidium siju
Micrathene whitneyi
Athene cunicularia
Ciccaba virgata
Ciccaba nigrolineata
Strix occidentalis
Strix varia
Strix fulvescens
Strix nebulosa
Asio otus
Asio stygius
Asio flammeus
Pseudoscops clamator
Pseudoscops grammicus
Aegolius funereus
Aegolius acadicus
Aegolius ridgwayi
Ninox scutulata
Lurocalis semitorquatus
Chordeiles acutipennis
Chordeiles minor
Chordeiles gundlachii
Nyctidromus albicollis
Phalaenoptilus nuttallii
Siphonorhis americana
Siphonorhis brewsteri
Nyctiphrynus mcleodii
Nyctiphrynus yucatanicus
Nyctiphrynus ocellatus
Caprimulgus carolinensis
Caprimulgus rufus
Caprimulgus cubanensis
Caprimulgus salvini
Caprimulgus badius
Caprimulgus ridgwayi
Caprimulgus vociferus
Caprimulgus arizonae
Caprimulgus noctitherus
Caprimulgus saturatus
Caprimulgus cayennensis
Caprimulgus maculicaudus
Caprimulgus indicus
Nyctibius grandis
Nyctibius griseus
Nyctibius jamaicensis
Steatornis caripensis
Cypseloides niger
Cypseloides storeri
Cypseloides cryptus
Cypseloides cherriei
Streptoprocne rutila
Streptoprocne zonaris
Streptoprocne semicollaris
Chaetura pelagica
Chaetura vauxi
Chaetura chapmani
Chaetura brachyura
Chaetura meridionalis
Chaetura spinicaudus
Chaetura fumosa
Chaetura cinereiventris
Chaetura martinica
Hirundapus caudacutus
Aerodramus bartschi
Apus apus
Apus pacificus
Apus melba
Aeronautes saxatalis
Panyptila cayennensis
Panyptila sanctihieronymi
Tachornis phoenicobia
Glaucis aeneus
Glaucis hirsutus
Threnetes ruckeri
Phaethornis guy
Phaethornis longirostris
Phaethornis anthophilus
Phaethornis striigularis
Eutoxeres aquila
Androdon aequatorialis
Doryfera ludovicae
Phaeochroa cuvierii
Campylopterus curvipennis
Campylopterus excellens
Campylopterus rufus
Campylopterus hemileucurus
Florisuga mellivora
Colibri delphinae
Colibri thalassinus
Anthracothorax prevostii
Anthracothorax nigricollis
Anthracothorax veraguensis
Anthracothorax dominicus
Anthracothorax viridis
Anthracothorax mango
Eulampis jugularis
Eulampis holosericeus
Chrysolampis mosquitus
Orthorhyncus cristatus
Klais guimeti
Abeillia abeillei
Lophornis brachylophus
Lophornis delattrei
Lophornis helenae
Lophornis adorabilis
Discosura conversii
Chlorostilbon auriceps
Chlorostilbon forficatus
Chlorostilbon canivetii
Chlorostilbon assimilis
Chlorostilbon ricordii
Chlorostilbon bracei
Chlorostilbon swainsonii
Chlorostilbon maugaeus
Cynanthus sordidus
Cynanthus latirostris
Cyanophaia bicolor
Thalurania ridgwayi
Thalurania colombica
Thalurania fannyi
Panterpe insignis
Damophila julie
Lepidopyga coeruleogularis
Hylocharis humboldtii
Hylocharis eliciae
Hylocharis leucotis
Hylocharis xantusii
Goldmania violiceps
Goethalsia bella
Trochilus polytmus
Amazilia candida
Amazilia luciae
Amazilia amabilis
Amazilia decora
Amazilia boucardi
Amazilia cyanocephala
Amazilia beryllina
Amazilia cyanura
Amazilia saucerrottei
Amazilia edward
Amazilia tzacatl
Amazilia yucatanensis
Amazilia rutila
Amazilia violiceps
Amazilia viridifrons
Eupherusa eximia
Eupherusa cyanophrys
Eupherusa poliocerca
Eupherusa nigriventris
Elvira chionura
Elvira cupreiceps
Microchera albocoronata
Chalybura buffonii
Chalybura urochrysia
Lampornis viridipallens
Lampornis sybillae
Lampornis amethystinus
Lampornis clemenciae
Lampornis hemileucus
Lampornis calolaemus
Lampornis castaneoventris
Lamprolaima rhami
Heliodoxa jacula
Eugenes fulgens
Haplophaedia aureliae
Heliothryx barroti
Heliomaster longirostris
Heliomaster constantii
Calliphlox evelynae
Calliphlox bryantae
Calliphlox mitchellii
Doricha enicura
Doricha eliza
Tilmatura dupontii
Calothorax lucifer
Calothorax pulcher
Archilochus colubris
Archilochus alexandri
Mellisuga minima
Mellisuga helenae
Calypte anna
Calypte costae
Stellula calliope
Atthis heloisa
Atthis ellioti
Selasphorus platycercus
Selasphorus rufus
Selasphorus sasin
Selasphorus flammula
Selasphorus ardens
Selasphorus scintilla
Priotelus temnurus
Priotelus roseigaster
Trogon clathratus
Trogon massena
Trogon melanurus
Trogon melanocephalus
Trogon citreolus
Trogon chionurus
Trogon bairdii
Trogon caligatus
Trogon rufus
Trogon elegans
Trogon mexicanus
Trogon collaris
Trogon aurantiiventris
Euptilotis neoxenus
Pharomachrus auriceps
Pharomachrus mocinno
Upupa epops
Todus multicolor
Todus subulatus
Todus angustirostris
Todus todus
Todus mexicanus
Hylomanes momotula
Aspatha gularis
Momotus mexicanus
Momotus momota
Baryphthengus martii
Electron carinatum
Electron platyrhynchum
Eumomota superciliosa
Megaceryle torquata
Megaceryle alcyon
Chloroceryle amazona
Chloroceryle americana
Chloroceryle inda
Chloroceryle aenea
Nystalus radiatus
Notharchus hyperrhynchus
Notharchus pectoralis
Notharchus tectus
Malacoptila panamensis
Micromonacha lanceolata
Nonnula frontalis
Monasa morphoeus
Brachygalba salmoni
Galbula ruficauda
Jacamerops aureus
Capito maculicoronatus
Eubucco bourcierii
Semnornis frantzii
Aulacorhynchus prasinus
Pteroglossus torquatus
Pteroglossus frantzii
Selenidera spectabilis
Ramphastos sulfuratus
Ramphastos ambiguus
Jynx torquilla
Picumnus olivaceus
Nesoctites micromegas
Melanerpes lewis
Melanerpes herminieri
Melanerpes portoricensis
Melanerpes erythrocephalus
Melanerpes formicivorus
Melanerpes chrysauchen
Melanerpes pucherani
Melanerpes striatus
Melanerpes radiolatus
Melanerpes chrysogenys
Melanerpes hypopolius
Melanerpes pygmaeus
Melanerpes rubricapillus
Melanerpes uropygialis
Melanerpes hoffmannii
Melanerpes aurifrons
Melanerpes carolinus
Melanerpes superciliaris
Sphyrapicus thyroideus
Sphyrapicus varius
Sphyrapicus nuchalis
Sphyrapicus ruber
Xiphidiopicus percussus
Dendrocopos major
Picoides scalaris
Picoides nuttallii
Picoides pubescens
Picoides villosus
Picoides arizonae
Picoides stricklandi
Picoides borealis
Picoides albolarvatus
Picoides dorsalis
Picoides arcticus
Veniliornis fumigatus
Veniliornis kirkii
Piculus simplex
Piculus callopterus
Piculus chrysochloros
Colaptes rubiginosus
Colaptes auricularis
Colaptes punctigula
Colaptes auratus
Colaptes chrysoides
Colaptes fernandinae
Celeus loricatus
Celeus castaneus
Dryocopus lineatus
Dryocopus pileatus
Campephilus haematogaster
Campephilus melanoleucos
Campephilus guatemalensis
Campephilus principalis
Campephilus imperialis
Sapayoa aenigma
Cymbilaimus lineatus
Taraba major
Thamnophilus doliatus
Thamnophilus nigriceps
Thamnophilus bridgesi
Thamnophilus atrinucha
Xenornis setifrons
Thamnistes anabatinus
Dysithamnus mentalis
Dysithamnus striaticeps
Dysithamnus puncticeps
Myrmotherula ignota
Myrmotherula pacifica
Myrmotherula axillaris
Myrmotherula schisticolor
Epinecrophylla fulviventris
Herpsilochmus rufimarginatus
Microrhopias quixensis
Formicivora grisea
Terenura callinota
Cercomacra tyrannina
Cercomacra nigricans
Gymnocichla nudiceps
Myrmeciza longipes
Myrmeciza exsul
Myrmeciza laemosticta
Myrmeciza immaculata
Hylophylax naevioides
