97	Greater Sand Plover	141032292115926168841527197869539469847	2015-08-11 19:12:49	2015-08-11 19:12:49
98	Pluvier de Leschenault	158071739923169675173768537317377538689	2015-08-11 19:12:49	2015-08-11 19:12:49
99	Long-billed Plover	295357409118105058314776072581726915652	2015-08-11 19:12:49	2015-08-11 19:12:49
100	Martín-pescador amazónico	20483279815053907862332779596349469717	2015-08-11 19:12:50	2015-08-11 19:12:50
101	Amazon Kingfisher	281912088084113799493602074834518104269	2015-08-11 19:12:50	2015-08-11 19:12:50
102	Black Stork	72253595050861867137218225113631701087	2015-08-11 19:12:51	2015-08-11 19:12:51
103	cigognes	236982502854806353270268035243981291689	2015-08-11 19:12:52	2015-08-11 19:12:52
104	Chestnut-winged Cuckoos	310713613516322463852882974337195906587	2015-08-11 19:12:52	2015-08-11 19:12:52
105	Great Spotted Cuckoo	11505409273381885987760940066113632276	2015-08-11 19:12:52	2015-08-11 19:12:52
106	Oldsquaws	98071777549620461545514727455103061843	2015-08-11 19:12:52	2015-08-11 19:12:52
107	Shovel-billed Kookaburra	211752202435623008694858816141851637333	2015-08-11 19:12:52	2015-08-11 19:12:52
108	Fiji Shrikebill	191072380309121708803253419528103801845	2015-08-11 19:12:52	2015-08-11 19:12:52
109	Red-rumped Bush Tyrant	176759244886870697347194778717538975828	2015-08-11 19:12:53	2015-08-11 19:12:53
110	Fuscous Flycatcher	158666419972579637579958103586372682464	2015-08-11 19:12:53	2015-08-11 19:12:53
111	Hawfinch	209171896496343987563135550813505013342	2015-08-11 19:12:53	2015-08-11 19:12:53
112	Sumatran Cochoa	27687218330543445035384293551542383107	2015-08-11 19:12:53	2015-08-11 19:12:53
113	Crested Bobwhite	176357259183140629079705523188573831153	2015-08-11 19:12:54	2015-08-11 19:12:54
114	White-backed Mousebird	17376537328334545571838582926512395643	2015-08-11 19:12:54	2015-08-11 19:12:54
115	Sandstone Shrikethrush	4479540535082136783072090069941603722	2015-08-11 19:12:54	2015-08-11 19:12:54
116	Rock Pigeon	73267875642474811809191613906985103166	2015-08-11 19:12:54	2015-08-11 19:12:54
117	Rock Dove	161398351230840479710257798569418877109	2015-08-11 19:12:54	2015-08-11 19:12:54
118	pigeon biset	226319378258068304168824452944628683383	2015-08-11 19:12:54	2015-08-11 19:12:54
119	Paloma doméstica	209985341313021045348787097845742066509	2015-08-11 19:12:55	2015-08-11 19:12:55
120	Common Pigeon	162055104721828771170553329077069435015	2015-08-11 19:12:55	2015-08-11 19:12:55
121	Ecuadorian Ground Dove	168545535912951228763151684471377992367	2015-08-11 19:12:55	2015-08-11 19:12:55
122	Bicolored Conebill	314842712093672256113070733904754931170	2015-08-11 19:12:55	2015-08-11 19:12:55
123	Pearly-breasted Conebill	279461303398760619563876509543172120711	2015-08-11 19:12:55	2015-08-11 19:12:55
124	Tamarugo Conebill	31049234490752629553964141470860438535	2015-08-11 19:12:55	2015-08-11 19:12:55
125	Grey Honeyeater	80290796267533085289558898576932644493	2015-08-11 19:12:56	2015-08-11 19:12:56
